2021,Fixed Date,Movable Date,Order (BCP 15ff.),Code,BCP Pg,Titles of Days (BCP 31ff.),Preface,Prepare,Hymn Ent,Greeting,Opening Prayer,Song of Praise,Psalm Style,Sequence,Hymn Seq,Homily,Creed,PoP,Confession,Peace,Announcements,Offertory,Hymn Offertory,Great Thanksgiving,Lord’s Prayer,Fraction,About Communion,Comm Hymn,Hymn Communion,Post-Communion,Blessing,Processional,Hymn Process,Dismissal,Postscript,Psalm,First Lesson,Second Lesson,Gospel,
12/27/20,,,205,christmas1,355,The First Sunday after Christmas Day,incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/hearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/xmas-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 147,Isaiah 61:10-62:3,Galatians 3:23-25, 4:4-7,John 1:1-18
12/28/20,,December 27,334,stjohn,355,"Saint John, Apostle and Evangelist",incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 92,Exodus 33:18-23,1 John 1:1-9,John 21:19b-24,
12/29/20,,December 28,342,holyinnocents,355,The Holy Innocents,incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 124,Jeremiah 31:15-17,Revelation 21:1-7,Matthew 2:13-18,
01/01/21,January 1,,301,holyname,355,The Holy Name of our Lord Jesus Christ,incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 8,Numbers 6:22-27,Galatians 4:4-7,Luke 2:15-21,
01/03/21,,,206,christmas2,355,The Second Sunday after Christmas Day,incarnation,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/hearourprayer,he/confession,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/xmas-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 84,Jeremiah 31:7-14,"Ephesians 1:3-6, 15-19a","Matthew 2:13-15, 19-23",
01/06/21,January 6,,114,epiphany,355,"The Epiphany, or the Manifestation of our Lord Jesus Christ to the Gentiles",epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-long,,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 72:1-7, 10-14",Isaiah 60:1-6,Ephesians 3:1-12,Matthew 2:1-12,
01/10/21,,,211,epiphany1,355,The First Sunday after the Epiphany- The Baptism of Our Lord,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalm/responsively,,,he/homily/brief,he/creed/baptismalvowsrenewal,he/pop/lordhavemercy,,stt/2021/peace-covid,stt/announcements,he/offertory,hymns/h-304-3vv,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-long,he/processional,h-448,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 29,Genesis 1:1-5,Acts 19:1-7,Mark 1:4-11,
01/17/21,,,212,epiphany2,355,The Second Sunday after the Epiphany,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/hearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 139:1-5, 12-17",1 Samuel 3:1-20,1 Corinthians 6:12-20,John 1:43-51,
01/18/21,,January 18,313,confessionstpeter,355,The Confession of Saint Peter the Apostle,apostles,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 23,Acts 4: 8-13,1 Peter 5:1-4,Matthew 16:13-19,
01/24/21,,,213,epiphany3,355,The Third Sunday after the Epiphany,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/hearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 62:6-14,"Jonah 3:1-5, 10",1 Corinthians 7:29-31,Mark 1:14-20,
01/25/21,,January 25,314,conversionstpaul,355,The Conversion of Saint Paul the Apostle,apostles,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/trishagion,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/thepeace,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 67,Acts 26:9-21,Galatians 1:11-24,Matthew 10:16-22,
01/31/21,,,214,epiphany4,355,The Fourth Sunday after the Epiphany,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/hearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 111,Deuteronomy 18:15-20,1 Corinthians 8:1-13,Mark 1:21-28,
02/07/21,,,215,epiphany5,355,The Fifth Sunday after the Epiphany,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/hearourprayer,he/confession,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 147:1-12, 21c",Isaiah 40:21-31,1 Corinthians 9:16-23,Mark 1:29-39,
02/14/21,,,219,epiphanylast,355,The Last Sunday after the Epiphany,epiphany,stt/2021/preparing-covid,,he/greeting/blessedbegod,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/hearourprayer,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/epiphany-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 50:1-6,2 Kings 2:1-12,2 Corinthians 4:3-6,Mark 9:2-9,
02/17/21,,,401,ashwednesday,264,"The First Day of Lent, or Ash Wednesday",lent,stt/2021/preparing-covid,,,,,he/psalm/responsively,,,he/homily/brief,he/ashwed/invitation,,he/ashwed/litanyofpenitence,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/ashwed,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 103,"Joel 2:1-2, 12-17",2 Corinthians 5:20b-6:10,"Matthew 6:1-6, 16-21",
02/21/21,,,221,lent1,148,The First Sunday in Lent,lent,stt/2021/preparing-covid,,,he/greatlitany,he/songofpraise/lordhavemercy,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,,,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 25:1-9,Genesis 9:8-17,1 Peter 3:18-22,Mark 1:9-15,
02/24/21,February 24,,302,presentation,355,The Presentation of our Lord Jesus Christ in the Temple,epiphany,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 84,Malachi 3:1-4,Hebrews 2:14-18,Luke 2:22-40,
02/24/21,,February 24,315,stmatthias,355,Saint Matthias the Apostle,apostles,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 15,Acts 1:15-26,Philippians 3:13b-21,"John 15:1,6-16",
02/28/21,,,222,lent2,351,The Second Sunday in Lent,lent,stt/2021/preparing-covid,,,he/penitentialorder,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhavemercy,,stt/2021/peace-covid,stt/announcements,he/offertory,levas-184,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,he/processional,levas-1,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 22:22-30,"Genesis 17:1-7, 15-16",Romans 4:13-25,Mark 8:31-38,
03/07/21,,,223,lent3,351,The Third Sunday in Lent,lent,stt/2021/preparing-covid,,,he/penitentialorder,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhavemercy,,stt/2021/peace-covid,stt/birthdaysanniversaries,he/offertory,hymns/h-431,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,he/processional,hymns/h-455,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 19,Exodus 20:1-17,1 Corinthians 1:18-25,John 2:13-22,
03/14/21,,,224,lent4,351,The Fourth Sunday in Lent,lent,stt/2021/preparing-covid,,,he/penitentialorder,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhavemercy,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 107:1-3, 17-22",Numbers 21:4-9,Ephesians 2:1-10,John 3:14-21,
03/19/21,,March 19,343,stjoseph,355,Saint Joseph,epiphany,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 89:1-29,"2 Samuel 7:4,8-16",Romans 4:13-18,Luke 2:41-52,
03/21/21,,,225,lent5,351,The Fifth Sunday in Lent,lent,stt/2021/preparing-covid,,,he/penitentialorder,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/lordhavemercy,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/lent,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 51:1-13,Jeremiah 31:31-34,Hebrews 5:5-10,John 12:20-33,
03/25/21,,March 25,303,annunciation,355,The Annunciation of Our Lord Jesus Christ to the Blessed Virgin Mary,epiphany,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/mary-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 45,Isaiah 7:10-14,Hebrews 10:4-10,Luke 1:26-38,
03/28/21,,,226,palmsunday,270,The Sunday of the Passion- Palm Sunday,holyweek,stt/2021/preparing-covid,,he/palmsunday/palms/b,he/palmsunday/palms/procession,,he/psalm/responsively,,,he/palmsunday/passion/b,,he/palmsunday/prayers,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/palmsunday,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 31:9-16,Isaiah 50:4-9a,Philippians 2:5-11,Mark 14:1-15:47,
03/29/21,,,402,holymonday,355,Monday in Holy Week,holyweek,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/palmsunday,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 36:5-11,Isaiah 42:1-9,Hebrews 9:11-15,John 12:1-11,
03/30/21,,,403,holytuesday,355,Tuesday in Holy Week,holyweek,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/palmsunday,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 71:1-14,Isaiah 49:1-7,1 Corinthians 1:18-31,John 12:20-36,
03/31/21,,,404,holywednesday,355,Wednesday in Holy Week,holyweek,stt/2021/preparing-covid,,he/greeting/blessthelord,he/collect-purity,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,he/confession,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/palmsunday,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 70,Isaiah 50:4-9a,Hebrews 12:1-3,John 13:21-32,
04/01/21,,,405,maundythursday,274/355,Maundy Thursday,holyweek,stt/2021/preparing-covid,,,he/penitentialorder,he/songofpraise/kyrie,he/psalm/responsively,,,he/homily/brief,he/maundythursday/washfeet,he/pop/lordhavemercy,he/confession,stt/2021/peace-covid,stt/announcements,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short-lent,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/palmsunday,,,he/maundythursday/stripaltar,stt/2021/postscript-covid,"Psalm 116:1, 10-17",Exodus 12:1-14,1 Corinthians 11:23-26,"John 13:1-17, 31b-35",
04/02/21,,,406,goodfriday,276,Good Friday,holyweek,stt/2021/preparing-covid,,he/goodfriday/greeting,,,he/psalm/responsively,,,he/goodfriday/passion-homily,he/goodfriday/hymn,he/goodfriday/solemncollects,he/goodfriday/hymn-devotions,he/lordsprayer/1,he/goodfriday/shortconclusion,,,,,,,,,,,,,,stt/2021/postscript-covid,Psalm 22,Isaiah 52:13-53:12,Hebrews 10:16-25,John 18:1-19:42,
04/03/21,,,101,eastervigil,285,The Great Vigil of Easter,easter,stt/2021/preparing-covid,he/eastervigil/lightingcandle,he/eastervigil/liturgyword,he/creed/baptismalvowsrenewal,he/eastervigil/transition,he/psalm/responsively,,he/eastervigil/greatalleluia,,,he/pop/hearourprayer,,stt/2021/peace-covid,stt/announcements,he/offertory,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-long,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 114,,Romans 6:3-11,Mark 16:1-8,
04/03/21,,,407,holysaturday,283/355,Holy Saturday,holyweek,stt/2021/preparing-covid,,,,,he/psalm/responsively,,,he/homily/brief,burial/inthemidstoflife,he/lordsprayer/letuspray,,,,,,,,,,,,,,,,office/mp/conclusion/thegrace,stt/2021/postscript-covid,"Psalm 31:1-4, 15-16",Job 14:1-14,1 Peter 4:1-8,Matthew 27:57-66,
04/04/21,,,501,eastereve,355,Easter Eve,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/trishagion,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 114,Isaiah 25:6-9,1 Corinthians 5:6b-8,Luke 24:13-49,
04/04/21,,,104,resurrection3,355,"The Sunday of the Resurrection, or Easter Day",easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/gloriaexcelsis,he/psalm/responsively,,,he/homily/brief,he/creed/baptismalvowsrenewal,he/pop/hearourprayer,,stt/2021/peace-covid,stt/announcements,stt/2021/offertory-covid,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-long,he/processional,,he/dismissal/goinpeace,stt/2021/postscript-covid,"Psalm 118:1-2, 14-24",Isaiah 25:6-9,Acts 10:34-43,Mark 16:1-8,
04/05/21,,,502,eastermonday,355,Monday in Easter Week,easter,stt/2021/preparing-covid,,he/greeting/alleluia,he/collect-purity,he/songofpraise/trishagion,he/psalm/responsively,,,he/homily/brief,he/creed/nicene,he/pop/form3,,stt/2021/peace-covid,,he/offertory-nohymn,,he/eucharisticprayer/a,he/lordsprayer/1,he/fraction/short,stt/2021/communion-covid,,,he/postcommunion/eternal,he/blessing/easter-short,,,he/dismissal/goinpeace,stt/2021/postscript-covid,Psalm 16:8-11,"Acts 2:14,22b-32",,Matthew 28:9-15,
